"Concepto","Principal","Monto Documento","Tipo Vista","Fecha Generación","Folio","Título","Número Documento","Fecha Documento","Tipo Documento","Monto Documento"
"220400400102 Farmacia- Compras Extra Sistema","96640350-0 Pentafarma S.A.","33.524.440","Tipo Flujo","31/01/2021","3089","CP DEVENGA FACT N° 185619 PENTAFARMA S.A. ENERO 2021","185872","28/12/2020","Factura Afecta Electrónica","1.291.207"
"220400400102 Farmacia- Compras Extra Sistema","96640350-0 Pentafarma S.A.","33.524.440","Tipo Flujo","17/02/2021","5077","FA / 188084 / 96640350 / 2069-572-AG21 / PENTAFARMA S A","188084","15/01/2021","Factura Afecta Electrónica","1.245.673"
"220400400102 Farmacia- Compras Extra Sistema","96640350-0 Pentafarma S.A.","33.524.440","Tipo Flujo","17/02/2021","5083","FA / 189184 / 96640350 / 2069-1000-SE21 / PENTAFARMA S A","189184","03/02/2021","Factura Afecta Electrónica","1.264.446"
"220400400102 Farmacia- Compras Extra Sistema","96640350-0 Pentafarma S.A.","33.524.440","Tipo Flujo","13/03/2021","9530","FA / 191191 / 96640350 / 2069-1906-SE21 / PENTAFARMA S A","191191","05/03/2021","Factura Afecta Electrónica","1.177.243"
"220400400102 Farmacia- Compras Extra Sistema","96640350-0 Pentafarma S.A.","33.524.440","Tipo Flujo","31/03/2021","13536","FA / 192212 / 96640350 / 2069-2316-SE21 / PENTAFARMA S A","192212","23/03/2021","Factura Afecta Electrónica","1.177.243"
"220400400102 Farmacia- Compras Extra Sistema","96756540-7 B. BRAUN MEDICAL SPA","648.884","Saldo Inicial","","","Saldo Inicial","","","","0"
"220400400102 Farmacia- Compras Extra Sistema","96756540-7 B. BRAUN MEDICAL SPA","648.884","Tipo Flujo","26/01/2021","222","FA / 674053 / 96756540 / 2069-10244-SE20 / B BRAUN MEDICAL SPA","674053","26/01/2021","Factura Afecta Electrónica","22.277"
"220400400102 Farmacia- Compras Extra Sistema","96756540-7 B. BRAUN MEDICAL SPA","648.884","Tipo Flujo","27/01/2021","469","FA / 672583 / 96756540 / 2069-10244-SE20 / B BRAUN MEDICAL SPA","672583","14/01/2021","Factura Afecta Electrónica","22.277"
"220400400102 Farmacia- Compras Extra Sistema","96756540-7 B. BRAUN MEDICAL SPA","648.884","Tipo Flujo","27/01/2021","569","FA / 672613 / 96756540 / 2069-10244-SE20 / B BRAUN MEDICAL SPA","672613","14/01/2021","Factura Afecta Electrónica","22.277"
"220400400102 Farmacia- Compras Extra Sistema","96756540-7 B. BRAUN MEDICAL SPA","648.884","Tipo Flujo","31/01/2021","1925","FA / 670101 / 96756540 / 2069-9128-SE20 / B BRAUN MEDICAL SPA","670101","30/12/2020","Factura Afecta Electrónica","33.415"
"220400400102 Farmacia- Compras Extra Sistema","96756540-7 B. BRAUN MEDICAL SPA","648.884","Tipo Flujo","31/01/2021","2541","FA / 673372 / 96756540 / 2069-10244-SE20 / B BRAUN MEDICAL SPA","673372","30/12/2020","Documento de Negocio","22.277"
"220400400102 Farmacia- Compras Extra Sistema","96756540-7 B. BRAUN MEDICAL SPA","648.884","Tipo Flujo","31/01/2021","2857","CA DEVENGA FC 669186 B BRAUN ","669186","23/12/2020","Factura Afecta Electrónica","33.415"
"220400400102 Farmacia- Compras Extra Sistema","96756540-7 B. BRAUN MEDICAL SPA","648.884","Tipo Flujo","31/01/2021","2858","CA DEVENGA FC 669360 B BRAUN ENERO","669360","26/12/2020","Factura Afecta Electrónica","33.415"
"220400400102 Farmacia- Compras Extra Sistema","96756540-7 B. BRAUN MEDICAL SPA","648.884","Tipo Flujo","17/02/2021","4853","FA / 675029 / 96756540 / 2069-10244-SE20 / B BRAUN MEDICAL SPA","675029","30/01/2021","Factura Afecta Electrónica","22.277"
"220400400102 Farmacia- Compras Extra Sistema","96756540-7 B. BRAUN MEDICAL SPA","648.884","Tipo Flujo","17/02/2021","4854","FA / 674663 / 96756540 / 2069-10244-SE20 / B BRAUN MEDICAL SPA","674663","28/01/2021","Factura Afecta Electrónica","22.277"
"220400400102 Farmacia- Compras Extra Sistema","96756540-7 B. BRAUN MEDICAL SPA","648.884","Tipo Flujo","17/02/2021","4909","FA / 676068 / 96756540 / 2069-10244-SE20 / B BRAUN MEDICAL SPA","676068","05/02/2021","Factura Afecta Electrónica","22.277"
"220400400102 Farmacia- Compras Extra Sistema","96756540-7 B. BRAUN MEDICAL SPA","648.884","Tipo Flujo","31/03/2021","14543","FA / 683858 / 96756540 / 2069-1257-SE21 / B BRAUN MEDICAL SPA","683858","29/03/2021","Factura Afecta Electrónica","392.700"
"220400400102 Farmacia- Compras Extra Sistema","96859930-5 LIBRA CHILE S.A.","63.546","Saldo Inicial","","","Saldo Inicial","","","","0"
"220400400102 Farmacia- Compras Extra Sistema","96859930-5 LIBRA CHILE S.A.","63.546","Tipo Flujo","28/02/2021","7344","FA / 21027 / 96859930 / 2069-1067-SE21 / LIBRA CHILE S A","21027","10/02/2021","Factura Afecta Electrónica","63.546"
"220400400102 Farmacia- Compras Extra Sistema","96884770-8 ITF LABOMED FARMACEUTICA LTDA.","5.145.084","Saldo Inicial","","","Saldo Inicial","","","","0"
"220400400102 Farmacia- Compras Extra Sistema","96884770-8 ITF LABOMED FARMACEUTICA LTDA.","5.145.084","Tipo Flujo","28/02/2021","7199","FA / 134324 / 96884770-8 / 2069-1313-AG21 / ITF Labomed Farmaceutica Limitada","134324","18/02/2021","Factura Afecta Electrónica","1.519.035"
"220400400102 Farmacia- Compras Extra Sistema","96884770-8 ITF LABOMED FARMACEUTICA LTDA.","5.145.084","Tipo Flujo","28/02/2021","7351","FA / 134448 / 96884770 / 2069-1775-AG21 / ITF-LABOMED FARMACEUTICA LIMITADA","134448","25/02/2021","Factura Afecta Electrónica","416.976"
"220400400102 Farmacia- Compras Extra Sistema","96884770-8 ITF LABOMED FARMACEUTICA LTDA.","5.145.084","Tipo Flujo","28/02/2021","8106","FA / 134269 / 96884770-8 / 2069-1108-SE21 / ITF Labomed Farmaceutica Limitada","134269","16/02/2021","Factura Afecta Electrónica","3.209.073"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Saldo Inicial","","","Saldo Inicial","","","","0"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","27/01/2021","385","FA / 297781 / 96945670-2 / 2069-365-AG21 / NOVOFARMA-SOPHIA","297781","15/01/2021","Factura Afecta Electrónica","427.210"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","28/01/2021","836","FA / 297888 / 96945670 / 2069-191-SE21 / NOVOFARMA SERVICE S A","297888","15/01/2021","Factura Afecta Electrónica","3.344.587"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","31/01/2021","1524","FA / 298570 / 96945670 / 2069-520-SE21 / NOVOFARMA SERVICE S A","298570","21/01/2021","Factura Afecta Electrónica","932.436"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","31/01/2021","1666","FA / 298163 / 96945670 / 2069-398-SE21 / NOVOFARMA SERVICE S A","298163","18/01/2021","Factura Afecta Electrónica","1.521.582"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","31/01/2021","1834","FA / 298361 / 96945670 / 2069-362-AG21 / NOVOFARMA SERVICE S A","298361","19/01/2021","Factura Afecta Electrónica","523.600"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","31/01/2021","1854","FA / 298373 / 96945670 / 2069-483-SE21 / NOVOFARMA SERVICE S A","298373","19/01/2021","Factura Afecta Electrónica","3.570.000"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","31/01/2021","2121","FA / 298402 / 96945670 / 2069-41-SE21 / NOVOFARMA SERVICE S A","298402","19/01/2021","Factura Afecta Electrónica","159.936"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","31/01/2021","2379","FA / 298304 / 96945670 / 2069-423-AG21 / NOVOFARMA SERVICE S A","298304","19/01/2021","Factura Afecta Electrónica","208.310"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","31/01/2021","2380","FA / 298379 / 96945670 / 2069-417-AG21 / NOVOFARMA SERVICE S A","298379","19/01/2021","Factura Afecta Electrónica","918.918"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","17/02/2021","4913","FA / 299253 / 96945670 / 2069-709-SE21 / NOVOFARMA SERVICE S A","299253","28/01/2021","Factura Afecta Electrónica","1.785.000"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","17/02/2021","5048","FA / 299050 / 96945670 / 2069-706-SE21 / NOVOFARMA SERVICE S A","299050","27/01/2021","Factura Afecta Electrónica","818.530"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","18/02/2021","5462","FA / 299046 / 96945670 / 2069-661-SE21 / NOVOFARMA SERVICE S A","299046","27/01/2021","Factura Afecta Electrónica","4.564.745"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","19/02/2021","5627","FA / 301333 / 96945670 / 2069-1075-SE21 / NOVOFARMA SERVICE S A","301333","09/02/2021","Factura Afecta Electrónica","99.960"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","19/02/2021","5630","FA / 301320 / 96945670 / 2069-1077-SE21 / NOVOFARMA SERVICE S A","301320","08/02/2021","Factura Afecta Electrónica","792.540"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","23/02/2021","6045","FA / 301705 / 96945670 / 2069-1041-AG21 / NOVOFARMA SERVICE S A","301705","11/02/2021","Factura Afecta Electrónica","1.484.406"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","24/02/2021","6152","FA / 302003 / 96945670 / 2069-882-SE21 / NOVOFARMA SERVICE S A","302003","13/02/2021","Factura Afecta Electrónica","5.816.672"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","27/02/2021","6830","FA / 302586 / 96945670 / 2069-718-SE21 / NOVOFARMA SERVICE S A","302586","19/02/2021","Factura Afecta Electrónica","920.525"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","28/02/2021","7331","FA / 303170 / 96945670 / 2069-1774-AG21 / NOVOFARMA SERVICE S A","303170","25/02/2021","Factura Afecta Electrónica","785.400"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","12/03/2021","9512","FA / 305420 / 96945670 / 2069-1909-SE21 / NOVOFARMA SERVICE S A","305420","10/03/2021","Factura Afecta Electrónica","1.071.000"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","24/03/2021","12138","FA / 305627 / 96945670-2 / 2069-1577-SE21 / NOVOFARMA SERVICE SA - FERRING","305627","11/03/2021","Factura Afecta Electrónica","3.635.420"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","26/03/2021","12826","FA / 307064 / 96945670 / 2069-2111-SE21 / NOVOFARMA SERVICE S A","307064","22/03/2021","Factura Afecta Electrónica","409.265"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","31/03/2021","13659","FA / 307697 / 96945670 / 2069-2740-SE21 / NOVOFARMA SERVICE S A","307697","29/03/2021","Factura Afecta Electrónica","2.499.000"
"220400400102 Farmacia- Compras Extra Sistema","96945670-2 NOVOFARMA SERVICE SA","36.698.307","Tipo Flujo","31/03/2021","13662","FA / 307691 / 96945670 / 2069-2743-SE21 / NOVOFARMA SERVICE S A","307691","29/03/2021","Factura Afecta Electrónica","409.265"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Saldo Inicial","","","Saldo Inicial","","","","0"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","13/01/2021","41","FA / 342885 / 96981250 / 2069-10061-SE20 / PFIZER CHILE S A","342885","11/01/2021","Factura Afecta Electrónica","11.842.061"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","13/01/2021","48","FA / 343315 / 96981250 / 2069-264-SE21 / PFIZER CHILE S A","343315","12/01/2021","Factura Afecta Electrónica","3.129.700"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","18/01/2021","92","FA / 343600 / 96981250 / 2069-264-SE21 / PFIZER CHILE S A","343600","12/01/2021","Factura Afecta Electrónica","6.259.400"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","18/01/2021","108","FA / 343768 / 96981250 / 2069-9984-SE20 / PFIZER CHILE S A","343768","13/01/2021","Factura Afecta Electrónica","77.350"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","18/01/2021","109","FA / 343650 / 96981250 / 2069-10274-SE20 / PFIZER CHILE S A","343650","13/01/2021","Factura Afecta Electrónica","8.831.609"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","27/01/2021","394","FA / 343933 / 96981250 / 2069-187-SE21 / PFIZER CHILE S A","343933","14/01/2021","Factura Afecta Electrónica","535.500"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","28/01/2021","703","FA / 343771 / 96981250 / 2069-9984-SE20 / PFIZER CHILE S A","343771","13/01/2021","Factura Afecta Electrónica","1.585.080"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","28/01/2021","821","FA / 343918 / 96981250 / 2069-10275-SE20 / PFIZER CHILE S A","343918","14/01/2021","Factura Afecta Electrónica","2.960.515"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","29/01/2021","972","FA / 343916 / 96981250 / 2069-10271-SE20 / PFIZER CHILE S A","343916","14/01/2021","Factura Afecta Electrónica","5.833.951"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","31/01/2021","1831","FA / 344067 / 96981250 / 2069-411-AG21 / PFIZER CHILE S A","344067","18/01/2021","Factura Afecta Electrónica","449.249"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","31/01/2021","1838","FA / 344064 / 96981250 / 2069-413-AG21 / PFIZER CHILE S A","344064","18/01/2021","Factura Afecta Electrónica","654.500"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","31/01/2021","1879","FA / 344112 / 96981250 / 2069-10189-SE20 / PFIZER CHILE S A","344112","18/01/2021","Factura Afecta Electrónica","70.643.160"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","17/02/2021","4720","FA / 345482 / 96981250 / 2069-858-SE21 / PFIZER CHILE S.A.","345482","04/02/2021","Factura Afecta Electrónica","1.426.572"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","17/02/2021","5098","FA / 345742 / 96981250 / 2069-1036-AG21 / PFIZER CHILE S.A.","345742","05/02/2021","Factura Afecta Electrónica","916.300"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","17/02/2021","5099","FA / 345740 / 96981250 / 2069-1071-SE21 / PFIZER CHILE S.A.","345740","05/02/2021","Factura Afecta Electrónica","1.106.557"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","19/02/2021","5717","FA / 345481 / 96981250 / 2069-858-SE21 / PFIZER CHILE S.A.","345481","04/02/2021","Factura Afecta Electrónica","77.350"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","19/02/2021","5718","FA / 345476 / 96981250 / 2069-877-SE21 / PFIZER CHILE S.A.","345476","04/02/2021","Factura Afecta Electrónica","187.425"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","19/02/2021","5719","FA / 345812 / 96981250 / 2069-1070-SE21 / PFIZER CHILE S.A.","345812","08/02/2021","Factura Afecta Electrónica","975.800"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","19/02/2021","5720","FA / 345097 / 96981250 / 2069-958-SE21 / PFIZER CHILE S.A.","345097","01/02/2021","Factura Afecta Electrónica","9.185.967"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","19/02/2021","5721","FA / 345762 / 96981250 / 2069-1091-SE21 / PFIZER CHILE S.A.","345762","08/02/2021","Factura Afecta Electrónica","10.537.450"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","19/02/2021","5722","FA / 345494 / 96981250 / 2069-1021-SE21 / PFIZER CHILE S.A.","345494","04/02/2021","Factura Afecta Electrónica","14.584.878"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","19/02/2021","5723","FA / 345099 / 96981250 / 2069-959-SE21 / PFIZER CHILE S.A.","345099","01/02/2021","Factura Afecta Electrónica","21.197.232"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","19/02/2021","5724","FA / 345096 / 96981250-9 / 2069-959-SE21 / PFIZER CHILE S.A.","345096","01/02/2021","Factura Afecta Electrónica","26.494.826"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","23/02/2021","6085","FA / 346467 / 96981250-9 / 2069-1276-SE21 / PFIZER CHILE S.A.","346467","12/02/2021","Factura Afecta Electrónica","267.750"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","24/02/2021","6153","FA / 346469 / 96981250-9 / 2069-1226-SE21 / PFIZER CHILE S.A.","346469","12/02/2021","Factura Afecta Electrónica","8.831.609"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","24/02/2021","6154","FA / 346471 / 96981250-9 / 2069-1225-SE21 / PFIZER CHILE S.A.","346471","12/02/2021","Factura Afecta Electrónica","20.723.607"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","28/02/2021","7096","FA / 347030 / 96981250 / 2069-1771-AG21 / PFIZER CHILE S.A.","347030","24/02/2021","Factura Afecta Electrónica","963.900"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","28/02/2021","7395","FA / 347133 / 96981250 / 2069-1811-SE21 / PFIZER CHILE S.A.","347133","26/02/2021","Factura Afecta Electrónica","59.221.540"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","10/03/2021","9138","FA / 347780 / 96981250 / 2069-35-SE21 / PFIZER CHILE S.A.","347780","05/03/2021","Factura Afecta Electrónica","386.750"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","13/03/2021","9537","FA / 348264 / 96981250 / 2069-1586-SE21 / PFIZER CHILE S.A.","348264","10/03/2021","Factura Afecta Electrónica","3.532.872"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","13/03/2021","9544","FA / 348246 / 96981250 / 2069-1566-SE21 / PFIZER CHILE S.A.","348246","10/03/2021","Factura Afecta Electrónica","154.700"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","13/03/2021","9548","FA / 348426 / 96981250 / 2069-1586-SE21 / PFIZER CHILE S.A.","348426","10/03/2021","Factura Afecta Electrónica","4.415.804"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","13/03/2021","9552","FA / 348247 / 96981250 / 2069-1572-SE21 / PFIZER CHILE S.A.","348247","10/03/2021","Factura Afecta Electrónica","160.650"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","15/03/2021","9564","FA / 348242 / 96981250 / 2069-1730-AG21 / PFIZER CHILE S.A.","348242","10/03/2021","Factura Afecta Electrónica","459.816"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","17/03/2021","10384","FA / 348661 / 96981250 / 2069-2182-SE21 / PFIZER CHILE S.A.","348661","12/03/2021","Factura Afecta Electrónica","2.960.515"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","18/03/2021","10890","FA / 348745 / 96981250 / 2069-1828-SE21 / PFIZER CHILE S.A.","348745","15/03/2021","Factura Afecta Electrónica","5.833.951"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","19/03/2021","11255","FA / 347130 / 96981250 / 2069-9482-SE20 / PFIZER CHILE S.A.","347130","26/02/2021","Factura Afecta Electrónica","773.500"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","29/03/2021","13187","FA / 349522 / 96981250 / 2069-2769-SE21 / PFIZER CHILE S.A.","349522","25/03/2021","Factura Afecta Electrónica","66.607.394"
"220400400102 Farmacia- Compras Extra Sistema","96981250-9 PFIZER CHILE S.A.","376.257.749","Tipo Flujo","31/03/2021","14816","FA / 349829 / 96981250 / 2069-1916-SE21 / PFIZER CHILE S.A.","349829","31/03/2021","Factura Afecta Electrónica","1.470.959"
"220400400102 Farmacia- Compras Extra Sistema","96989940-K LABORATORIO BOSTON S.A.","6.897.430","Saldo Inicial","","","Saldo Inicial","","","","0"
"220400400102 Farmacia- Compras Extra Sistema","96989940-K LABORATORIO BOSTON S.A.","6.897.430","Tipo Flujo","31/01/2021","2621","FA / 5384 / 96989940 / 2069-6305-CC20 / LABORATORIO BOSTON S A","5384","05/01/2021","Factura Afecta Electrónica","937.434"
"220400400102 Farmacia- Compras Extra Sistema","96989940-K LABORATORIO BOSTON S.A.","6.897.430","Tipo Flujo","17/02/2021","4906","FA / 5487 / 96989940 / 2069-6305-CC20 / LABORATORIO BOSTON S A","5487","02/02/2020","Factura Afecta Electrónica","1.781.430"
"220400400102 Farmacia- Compras Extra Sistema","96989940-K LABORATORIO BOSTON S.A.","6.897.430","Tipo Flujo","18/02/2021","5501","FA / 5501 / 96989940 / 2069-6305-CC20 / LABORATORIO BOSTON S A","5501","09/02/2021","Factura Afecta Electrónica","307.853"
"220400400102 Farmacia- Compras Extra Sistema","96989940-K LABORATORIO BOSTON S.A.","6.897.430","Tipo Flujo","28/02/2021","7369","FA / 5491 / 96989940 / 2069-6305-CC20 / LABORATORIO BOSTON S A","5491","03/02/2021","Factura Afecta Electrónica","1.781.430"
"220400400102 Farmacia- Compras Extra Sistema","96989940-K LABORATORIO BOSTON S.A.","6.897.430","Tipo Flujo","31/03/2021","13785","FA / 5649 / 96989940 / 2069-6305-CC20 / LABORATORIO BOSTON S A","5649","19/03/2021","Factura Afecta Electrónica","2.089.283"
"220400400102 Farmacia- Compras Extra Sistema","99565040-1 Laboratorios Kampar S.A.","15.201.655","Saldo Inicial","","","Saldo Inicial","","","","0"
"220400400102 Farmacia- Compras Extra Sistema","99565040-1 Laboratorios Kampar S.A.","15.201.655","Tipo Flujo","31/01/2021","2966","FA / 12303 / 99565040 / 2069-9763-SE20 / LABORATORIOS KAMPAR S A","12303","06/01/2021","Factura Afecta Electrónica","2.722.125"
"220400400102 Farmacia- Compras Extra Sistema","99565040-1 Laboratorios Kampar S.A.","15.201.655","Tipo Flujo","17/02/2021","4676","FA / 12443 / 99565040 / 2069-735-SE21 / LABORATORIOS KAMPAR S A","12443","28/01/2021","Factura Afecta Electrónica","1.370.880"
"220400400102 Farmacia- Compras Extra Sistema","99565040-1 Laboratorios Kampar S.A.","15.201.655","Tipo Flujo","17/02/2021","5017","FA / 12493 / 99565040 / 2069-334-SE21 / LABORATORIOS KAMPAR S A","12493","03/02/2021","Factura Afecta Electrónica","1.088.850"
"220400400102 Farmacia- Compras Extra Sistema","99565040-1 Laboratorios Kampar S.A.","15.201.655","Tipo Flujo","18/02/2021","5456","FA / 12412 / 99565040 / 2069-193-SE21 / LABORATORIOS KAMPAR S A","12412","25/01/2021","Factura Afecta Electrónica","2.975.000"
"220400400102 Farmacia- Compras Extra Sistema","99565040-1 Laboratorios Kampar S.A.","15.201.655","Tipo Flujo","23/02/2021","6043","FA / 12529 / 99565040 / 2069-1280-SE21 / LABORATORIOS KAMPAR S A","12529","11/02/2021","Factura Afecta Electrónica","1.370.880"
"220400400102 Farmacia- Compras Extra Sistema","99565040-1 Laboratorios Kampar S.A.","15.201.655","Tipo Flujo","28/02/2021","7193","FA / 12565 / 99565040 / 2069-883-SE21 / LABORATORIOS KAMPAR S A","12565","19/02/2021","Factura Afecta Electrónica","2.975.000"
"220400400102 Farmacia- Compras Extra Sistema","99565040-1 Laboratorios Kampar S.A.","15.201.655","Tipo Flujo","08/03/2021","8724","FA / 12617 / 99565040 / 2069-1578-SE21 / LABORATORIOS KAMPAR S A","12617","02/03/2021","Factura Afecta Electrónica","1.785.000"
"220400400102 Farmacia- Compras Extra Sistema","99565040-1 Laboratorios Kampar S.A.","15.201.655","Tipo Flujo","13/03/2021","9549","FA / 12665 / 99565040 / 2069-1571-SE21 / LABORATORIOS KAMPAR S A","12665","10/03/2021","Factura Afecta Electrónica","913.920"
"220400400103 Farmacia- Compras Programas Ministeriales","76418921-3 PHARMARIA CHILE S.P.A","116.025","Saldo Inicial","","","Saldo Inicial","","","","0"
"220400400103 Farmacia- Compras Programas Ministeriales","76418921-3 PHARMARIA CHILE S.P.A","116.025","Tipo Flujo","31/01/2021","2753","FA / 1060 / 76418921-3 / 5599-78-SE20 / ","1060","07/01/2021","Factura Afecta Electrónica","46.410"
